token_id,num_sales,last_sale,class,age,genre,origin,latent
1124,0,,Poet,0.39,nas,0GRE,PGVP
1237,0,,Poet,0.33,ion,JH6P,SMH8
1191,0,,Poet,0.30,ioh,SFNI,QSLO
1221,0,,Poet,0.28,ion,VU3N,GPST
1125,0,,Poet,0.37,naa,13LU,ZJYM
1213,1,2.7,Poet,0.30,ioh,CPU4,RH64
1261,0,,Poet,0.32,ioh,TEE5,0SS6
1222,0,,Poet,0.35,sof,Q2YA,4RSM
1126,0,,Poet,0.37,fes,TH2T,LTGX
1192,0,,Poet,0.39,fen,6JEG,CGKE
1251,0,,Poet,0.37,aes,8RIH,ET1P
1193,0,,Poet,0.53,ion,HPV2,YVOK
1214,1,1.09,Poet,0.46,ioh,X4RV,WPBU
1127,0,,Poet,0.47,iol,FY5Y,W4JB
1227,0,,Poet,0.28,naf,WQLQ,W6CP
1194,0,,Poet,0.25,ioh,U2LV,ZFNI
1128,0,,Poet,0.44,ioh,8GEQ,HI8L
1215,2,1.76,Poet,0.25,nas,BQ3C,VB57
1226,0,,Poet,0.21,nas,OVWR,PLKN
1228,0,,Poet,0.39,ion,IOWK,MNMC
1236,0,,Poet,0.60,ioh,H7DH,5T1X
1231,0,,Poet,0.39,nas,CVNO,JQGU
1129,0,,Poet,0.33,ioh,0R6C,GPST
1195,0,,Poet,0.39,ion,EDBZ,BMOZ
1229,0,,Poet,0.07,son,1R03,6BN1
1259,0,,Poet,0.35,son,5V4Q,MY2T
1234,0,,Poet,0.44,ioh,I9PZ,D4G4
1232,0,,Poet,0.49,nai,O7XL,5KP0
1260,0,,Poet,0.70,sof,2XUK,X3YM
1130,0,,Poet,0.26,ion,ZVJP,FC5N
1258,0,,Poet,0.44,nai,JIEG,FC5N
1196,0,,Poet,0.40,feh,4EFV,YANT
1238,0,,Poet,0.70,ioh,ANO3,OOO3
1262,0,,Poet,0.49,ion,HE0C,5ECQ
1233,0,,Poet,0.14,nai,7JFO,PLKN
1252,0,,Poet,0.16,ioh,1WVF,UZMO
1131,0,,Poet,0.32,naf,XQIC,7N9K
1197,0,,Poet,0.37,ioh,CXRI,GDVV
1265,0,,Poet,0.42,nai,5QRY,0SS6
1239,0,,Poet,0.32,ion,7DYJ,R9AL
